afkorting,plaatsnaam
KOOTWB,Kootwijkerbroek
KORNHN,Kornhorn
KORNWZ,Kornwerderzand
KORTHM,Kortehemmen
KORTHF,Kortenhoef
KORTGN,Kortgene
KOUDRN,Koudekerk aan den Rijn
KOUDKK,Koudekerke
KOUDUM,Koudum
KOUFDR,Koufurderrige
KRABDK,Krabbendijke
KRAGBG,Kraggenburg
KREILD,Kreileroord
KREWRD,Krewerd
KRIMLK,Krimpen aan de Lek
KRIMIJ,Krimpen aan den IJssel
KRINGD,Kring van Dorth
KROMMN,Krommenie
KRONBG,Kronenberg
KROPSW,Kropswolde
KRUING,Kruiningen
KRUISL,Kruisland
KUBRD,Kubaard
KUDLST,Kudelstaart
KUINRE,Kuinre
KUITRT,Kuitaart
KWADDM,Kwadendamme
KWADK,Kwadijk
KWINTH,Kwintsheul
LAAGZU,Laag Zuthem
LAAGKP,Laag-Keppel
LAAGSR,Laag-Soeren
LAGEMD,Lage Mierde
LAGEVS,Lage Vuursche
LAGEZW,Lage Zwaluwe
LAGELD,Lageland
LAGELS,Lageland Gem Slochteren
LAGEGN,Lageland GN
LAMBHG,Lambertschaag
LAMSWD,Lamswaarde
LANDRM,Landerum
LANDGF,Landgraaf
LANDHT,Landhorst
LANDMR,Landsmeer
LANGBK,Langbroek
LANGDK,Langedijke
LANGLL,Langelille
LANGLO,Langelo
LANGBM,Langenboom
LANGRK,Langerak
LANGVN,Langeveen
LANGWG,Langeweg
LANGZW,Langezwaag
LANGWR,Langweer
LARNGE,Laren GE
LARNNH,Laren NH
LARNNH,Laren Nh
LATHUM,Lathum
LATTBK,Lattrop-Breklenkamp
LAUWRG,Lauwersoog
LAUWZL,Lauwerzijl
LEDEAK,Ledeacker
LEEK,Leek
LEENDE,Leende
LEENS,Leens
LEERBK,Leerbroek
LEERDM,Leerdam
LEERMS,Leermens
LEERSM,Leersum
LEEUWD,Leeuwarden
LEGEMR,Legemeer
LEIDEN,Leiden
LEIDDP,Leiderdorp
LEIDDM,Leidschendam
LEIMDN,Leimuiden
LEIMBG,Leimuiderbrug
LEKKKK,Lekkerkerk
LEKKUM,Lekkum
LELLNS,Lellens
LELYSD,Lelystad
LEMELE,Lemele
LEMEVD,Lemelerveld
LEMRS,Lemiers
LEMMER,Lemmer
LENGEL,Lengel
LENT,Lent
LEONS,Leons
LEPELS,Lepelstraat
LETTBT,Lettelbert
LETTLE,Lettele
LEUNEN,Leunen
LEUR,Leur
LEUSDN,Leusden
LEUTH,Leuth
LEUTWD,Leutingewolde
LEUVHM,Leuvenheim
LEVROY,Leveroy
LEWEDP,Lewedorp
LEXMND,Lexmond
LICHTD,Lichtaard
LICHVD,Lichtenvoorde
LIEMPD,Liempde
LIENDN,Lienden
LIERHH,Lierderholthuis
LIEREN,Lieren
LIEROP,Lierop
LIES,Lies
LIESHT,Lieshout
LIESSL,Liessel
LIEVLD,Lievelde
LIEVRN,Lieveren
LIJNDN,Lijnden
LIMBRT,Limbricht
LIMMEN,Limmen
LINDE,Linde
LINDEN,Linden
LINNE,Linne
LINSCH,Linschoten
LIOESS,Lioessens
LIPPHZ,Lippenhuizen
LISSE,Lisse
LISSBR,Lisserbroek
LITH,Lith
LITHN,Lithoijen
LOBITH,Lobith
LOCHEM,Lochem
LOENEN,Loenen
LOENVT,Loenen aan de Vecht
LOENSL,Loenersloot
LOENGA,Loenga
LOERBK,Loerbeek
LOLLUM,Lollum
LOMM,Lomm
LONGHW,Longerhouw
LOODV,Loo Gld Duiven
LOOLW,Loo Gld Lingewaard
LOON,Loon
LOONZD,Loon op Zand
LOOSBK,Loosbroek
LOOSDR,Loosdrecht
LOOZEN,Loozen
LOPIK,Lopik
LOPKKP,Lopikerkapel
LOPPSM,Loppersum
LOSDRP,Losdorp
LOSSER,Losser
LOTTUM,Lottum
LUCASW,Lucaswolde
LUDDWR,Luddeweer
LUINBD,Luinjeberd
LUNTRN,Lunteren
LUTJBK,Lutjebroek
LUTJGT,Lutjegast
LUTJWK,Lutjewinkel
LUTTGT,Luttelgeest
LUTTEN,Lutten
LUTTBG,Luttenberg
LUXWDE,Luxwoude
LUYKGS,Luyksgestel
LYTSWM,Lytsewierrum
MAARHZ,Maarheeze
MAARN,Maarn
MAARSB,Maarsbergen
MAARSS,Maarssen
MAARTD,Maartensdijk
MAASBL,Maasbommel
MAASBT,Maasbracht
MAASBR,Maasbree
MAASDM,Maasdam
MAASDK,Maasdijk
MAASHS,Maashees
MAASLD,Maasland
MAASSL,Maassluis
MAASTR,Maastricht
MAASAP,Maastricht-Airport
MAASVL,Maasvlakte Rotterdam
MACHRN,Macharen
MADE,Made
MAKKNG,Makkinga
MAKKUM,Makkum
MALDEN,Malden
MANDER,Mander
MANDVN,Manderveen
MANTGM,Mantgum
MANTNG,Mantinge
MARKES,Maren-Kessel
MARGRT,Margraten
MARIHP,Maria Hoop
MARIHT,Mariahout
MARIPR,Mariaparochie
MARIBG,Marienberg
MARIHM,Marienheem
MARIVD,Marienvelde
MARKMP,Marijenkampen
MARKLO,Markelo
MARKEN,Marken
MARKBI,Markenbinnen
MARKNS,Marknesse
MARLE,Marle
MARRUM,Marrum
MARSUM,Marsum
MARUM,Marum
MARWKD,Marwijksoord
MASTKP,Mastenbroek Kampen
MASTZW,Mastenbroek Zwartewlnd
MATSLT,Matsloot
MAURIK,Maurik
MECHLN,Mechelen
MEDMBL,Medemblik
MEEDEN,Meeden
MEEDHZ,Meedhuizen
MEERKK,Meerkerk
MEERLO,Meerlo
MEERSS,Meerssen
MEERSD,Meerstad
MEEUWN,Meeuwen
MEGHLN,Megchelen
MEGEN,Megen
MEIJEL,Meijel
MELDSL,Melderslo
MELICK,Melick
MELISK,Meliskerke
MELISS,Melissant
MENAAM,Menaam
MENSWR,Mensingeweer
MEPPEL,Meppel
MEPPEN,Meppen
MERKBK,Merkelbeek
MERSLO,Merselo
METERN,Meteren
METERK,Meterik
METSWR,Metslawier
MHEER,Mheer
MIDDLR,Middelaar
MIDDBG,Middelburg
MIDDHS,Middelharnis
MIDDLI,Middelie
MIDDLS,Middelstum
MIDDBR,Middenbeemster
MIDDMR,Middenmeer
MIDLRN,Midlaren
MIDLUM,Midlum
MIDSLD,Midsland
MIDWDA,Midwolda
MIDWDE,Midwolde
MIDWD,Midwoud
MIEDUM,Miedum
MIERLO,Mierlo
MIJDRT,Mijdrecht
MIJNSH,Mijnsheerenland
MILDAM,Mildam
MILHZE,Milheeze
MILL,Mill
MILLRN,Millingen aan de Rijn
MILSBK,Milsbeek
MINNSG,Minnertsga
MIRNS,Mirns
MODDGT,Moddergat
MOERDK,Moerdijk
MOERGL,Moergestel
MOERKP,Moerkapelle
MOERST,Moerstraten
MOLGRF,Molenaarsgraaf
MOLNHK,Molenhoek
MOLNST,Molenschot
MOLKWR,Molkwerum
MONNKD,Monnickendam
MONSTR,Monster
MONTUT,Montfoort
MONTLI,Montfort
MOOK,Mook
MOOKHK,Mookhoek
MOORDR,Moordrecht
MOORVD,Moorveld
MORRA,Morra
MUIDEN,Muiden
MUIDBG,Muiderberg
MUNEIN,Munein
MUNNBN,Munnekeburen
MUNNZL,Munnekezijl
MUNSTG,Munstergeleen
MUNTDM,Muntendam
MUSSEL,Mussel
MUSSKL,Musselkanaal
NAALDW,Naaldwijk
NAARDN,Naarden
NAGELE,Nagele
NEDASS,Nederasselt
NEDHEM,Nederhemert
NEDHBG,Nederhorst den Berg
NEDLND,Nederland
NEDWRT,Nederweert
NEDEIN,Nederweert-Eind
NEEDE,Neede
NEER,Neer
NEERNN,Neerijnen
NEERTT,Neeritter
NEERKT,Neerkant
NEERLG,Neerlangel
NEERLN,Neerloon
NESBO,Nes
NESAM,Nes Ameland
NESDO,Nes Dongeradeel
NETERS,Netersel
NETTDN,Netterden
NIAWR,Niawier
NIBBWD,Nibbixwoud
NIEBRT,Niebert
NIEHVE,Niehove
NIEKDM,Niekerk De Marne
NIEKGG,Niekerk Grootegast
NIETAP,Nietap
NWANNV,Nieuw Annerveen
NWBEER,Nieuw Beerta
NWBUIN,Nieuw Buinen
NWSTJL,Nieuw- en Sint Joosland
NWHEET,Nieuw Heeten
NWNAMN,Nieuw Namen
NWSCHD,Nieuw Scheemda
NWAAL,Nieuwaal
NWAMST,Nieuw-Amsterdam
NWBALG,Nieuw-Balinge
NWBEIJ,Nieuw-Beijerland
NWBUIN,Nieuw-Buinen
NWDORD,Nieuw-Dordrecht
NWDORP,Nieuwdorp
NWNIED,Nieuwe Niedorp
NWPEKL,Nieuwe Pekela
NWWETR,Nieuwe Wetering
NWBRUG,Nieuwebrug
NWDIEP,Nieuwediep
NWGEIN,Nieuwegein
NWHORN,Nieuwehorne
NWDIJK,Nieuwendijk
NWTRAA,Nieuwer Ter Aa
NWBRRN,Nieuwerbrug aan den Rijn
NWKERK,Nieuwerkerk
NWKKIJ,Nieuwerkerk ad IJssel
NWOORH,Nieuweroord
NWOORM,Nieuweroord M-Drenthe
NWSLUI,Nieuwersluis
NWSCHT,Nieuweschoot
NWTONG,Nieuwe-Tonge
NWKOOP,Nieuwkoop
NWKUIJ,Nieuwkuijk
NWLAND,Nieuwland
NWLNDH,Nieuwlande
NWLNDC,Nieuwlande Coevorden
NWLEKK,Nieuw-Lekkerland
NWLEUS,Nieuwleusen
NWOLDA,Nieuwolda
NWPOOR,Nieuwpoort
NWRODN,Nieuw-Roden
NWSCHB,Nieuw-Schoonebeek
NWSTAD,Nieuwstadt
NWVEEN,Nieuwveen
NWVNNP,Nieuw-Vennep
NWVLIE,Nieuwvliet
NWVOSS,Nieuw-Vossemeer
NWWEER,Nieuw-Weerdinge
NIEZL,Niezijl
NIFTRK,Niftrik
NIGTEV,Nigtevecht
NIJALT,Nij Altoenae
NIJBTS,Nij Beets
NIJBRK,Nijbroek
NIJBKP,Nijeberkoop
NIJEGA,Nijega
NIJEHK,Nijehaske
NIJEHP,Nijeholtpade
NIJEHW,Nijeholtwolde
NIJELM,Nijelamer
NIJEMD,Nijemirdum
NIJESK,Nijensleek
NIJETN,Nijetrijne
NIJEVN,Nijeveen
NIJHZM,Nijhuizum
NIJKRK,Nijkerk
NIJKVN,Nijkerkerveen
NIJLND,Nijland
NIJLDE,Nijlande
NIJMGN,Nijmegen
NIJVDL,Nijverdal
NISPEN,Nispen
NISSE,Nisse
NISTRD,Nistelrode
NOARDB,Noardburgum
NOOITG,Nooitgedacht
NOORBK,Noorbeek
NDBEEM,Noordbeemster
NDBROE,Noordbroek
NDEIGE,Noordeinde Gld
NDEINH,Noordeinde NH
NDLOOS,Noordeloos
NDEN,Noorden
NDGOUW,Noordgouwe
NDHOEK,Noordhoek
NDHORN,Noordhorn
NDLARN,Noordlaren
NDSCHA,Noord-Scharwoude
NDSCHU,Noordscheschut
NDSLEE,Noord-Sleen
NDWELL,Noordwelle
NDWKGR,Noordwijk GR
NDWKZH,Noordwijk ZH
NDWKHT,Noordwijkerhout
NDWLFR,Noordwolde Fr
NDWLGR,Noordwolde GR
NOOTDP,Nootdorp
NORG,Norg
NOTTER,Notter
NUENEN,Nuenen
NUIS,Nuis
NULAND,Nuland
NUMAND,Numansdorp
NUNHEM,Nunhem
NUNSPT,Nunspeet
NUTH,Nuth
NUTTER,Nutter
OBBCHT,Obbicht
OBDAM,Obdam
OCHTEN,Ochten
ODIJK,Odijk
ODILPL,Odiliapeel
ODOORN,Odoorn
ODOORV,Odoornerveen
OEFFLT,Oeffelt
OEGSTG,Oegstgeest
OENE,Oene
OENTSJ,Oentsjerk
OFFGWR,Offingawier
OHELK,Ohe en Laak
OIJEN,Oijen
OIRLO,Oirlo
OIRSBK,Oirsbeek
OIRSCT,Oirschot
OISTWK,Oisterwijk
OKKENB,Okkenbroek
OLBRGN,Olburgen
OLDEBP,Oldeberkoop
OLDEBK,Oldebroek
OLDEHP,Oldeholtpade
OLDEHW,Oldeholtwolde
OLDEHV,Oldehove
OLDEKK,Oldekerk
OLDELM,Oldelamer
OLDEMT,Oldemarkt
OLZAAL,Oldenzaal
OLZIJL,Oldenzijl
OLDEOW,Oldeouwer
OLDETN,Oldetrijne
OLST,Olst
OLTRTP,Olterterp
OMMEL,Ommel
OMMEN,Ommen
OMMERN,Ommeren
ONDERD,Onderdendam
ONNA,Onna
ONNEN,Onnen
ONSTWD,Onstwedde
OOIJ,Ooij
OOLTPL,Ooltgensplaat
OWMIDD,Oost West en Middelbeers
OTBURG,Oostburg
OTDIJK,Oostdijk
OTEIND,Oosteind
OTBEEK,Oosterbeek
OTBIER,Oosterbierum
OTBLOK,Oosterblokker
OTENFR,Oosterend FR
OTENNH,Oosterend NH
OTHESS,Oosterhesselen
OTHTGE,Oosterhout GE
OTHTNB,Oosterhout NB
OTLAND,Oosterland
OTLEEK,Oosterleek
OTNIEL,Oosternieland
OTNIJK,Oosternijkerk
OTSTRK,Oosterstreek
OTWIJK,Oosterwijk
OTWIJT,Oosterwijtwerd
OTWLFR,Oosterwolde FR
OTWLGE,Oosterwolde Gld
OTRZEE,Oosterzee
OTGRAF,Oost-Graftdijk
OOSTHM,Oosthem
OTHUIZ,Oosthuizen
OTKAPP,Oostkapelle
OTKNOL,Oostknollendam
OTRMFR,Oostrum FR
OTRMLI,Oostrum LI
OTSOUB,Oost-Souburg
OTVOOR,Oostvoorne
OTWOLK,Oostwold Leek
OTWOOA,Oostwold Oldambt
OTWOUD,Oostwoud
OTZAAN,Oostzaan
OOTMSM,Ootmarsum
OPEIND,Opeinde
OPENDE,Opende
OPHMRT,Ophemert
OPHSDN,Opheusden
OPIJNN,Opijnen
OPLOO,Oploo
OPMEER,Opmeer
OPPNHZ,Oppenhuizen
OPPRDS,Opperdoes
ORANJE,Oranje
ORANWD,Oranjewoud
ORVLTE,Orvelte
OSPEL,Ospel
OSS,Oss
OSSDRT,Ossendrecht
OSSNIS,Ossenisse
OSSNWD,Ossenwaard
OSSNZL,Ossenzijl
OTERLK,Oterleek
OTTRLO,Otterlo
OTTRSM,Ottersum
OTTOLD,Ottoland
OUDADE,Oud Ade
OUDANN,Oud Annerveen
OUDGAS,Oud Gastel
OUDOOT,Oud Ootmarsum
OUDZLN,Oud Zuilen
OUDALB,Oud-Alblas
OUDBLD,Oud-Beijerland
OUDDRP,Ouddorp ZH
OUDEMR,Oude Meer
OUDNDP,Oude Niedorp
OUDPEK,Oude Pekela
OUDWET,Oude Wetering
OUDWIL,Oude Willem
OUDBZL,Oudebildtzijl
OUDGFM,Oudega De Fryske Marren
OUDGSL,Oudega Smallingerland
OUDGSF,Oudega Sudwest-Fryslan
OUDHSK,Oudehaske
OUDHRN,Oudehorne
OUDLND,Oudelande
OUDMDM,Oudemirdum
OUDMDR,Oudemolen DR
OUDMNB,Oudemolen NB
OUDBOS,Oudenbosch
OUDNDK,Oudendijk
OUDNHN,Oudenhoorn
ODKAMS,Ouderkerk aan de Amstel
ODKIJS,Ouderkerk aan den IJssel
OUDSCS,Oudeschans
OUDSCD,Oudeschild
OUDSCP,Oudeschip
OUDSCT,Oudeschoot
OUDSLS,Oudesluis
OUDTNG,Oude-Tonge
OUDWTR,Oudewater
OUDEZL,Oudezijl
OUDHSD,Oudheusden
OUDKLD,Oudkarspel
OUDKSG,Oudkarspel Schagen
OUDORP,Oudorp
OUDVOS,Oud-Vossemeer
OUDWDE,Oudwoude
OUWKRK,Ouwerkerk
OUWHLE,Ouwsterhaule
OUWNIJ,Ouwster-Nijega
OVERAS,Overasselt
OVERBG,Overberg
OVERDK,Overdinkel
OVERLA,Overlangel
OVERLN,Overloon
OVERSD,Overschild
OVERSL,Overslag
OVERVN,Overveen
OVEZAN,Ovezande
PAASLO,Paasloo
PAESNS,Paesens
PANNDN,Pannerden
PANNGN,Panningen
PAPEKP,Papekop
PAPDRT,Papendrecht
PAPHVN,Papenhoven
PAPVRT,Papenvoort
PARRGA,Parrega
PATWLD,Paterswolde
PEEST,Peest
PEINS,Peins
PEIZE,Peize
PEPRGA,Peperga
PERNIS,Pernis Rotterdam
PERSGN,Persingen
PESSEH,Pesse Hoogeveen
PESSEW,Pesse Westerveld
PETTEN,Petten
PHILPP,Philippine
PIAAM,Piaam
PIERSH,Piershil
PIETBN,Pieterburen
PIETBM,Pietersbierum
PIETZL,Pieterzijl
PIJNAK,Pijnacker
PINGJM,Pingjum
PLASML,Plasmolen
POEDRN,Poederoijen
POELDK,Poeldijk
POLSBK,Polsbroek
POORTG,Poortugaal
POORTV,Poortvliet
POPPWR,Poppenwier
POSTHT,Posterholt
PRINSB,Prinsenbeek
PUIFLK,Puiflijk
PUNTHT,Punthorst
PURMEV,Purmer Edam-Volendam
PURMWA,Purmer Waterland
PURMED,Purmerend
PURMLD,Purmerland
PUTH,Puth
PUTTE,Putte
PUTTEN,Putten
PUTTHK,Puttershoek
RAALTE,Raalte
RAAMDK,Raamsdonk
RAAMDV,Raamsdonksveer
RAARD,Raard
RADEWK,Radewijk
RADIOK,Radio Kootwijk
RAERD,Raerd
RANDWK,Randwijk
RANSDL,Ransdaal
RASQRT,Rasquert
RAVSTN,Ravenstein
RAVWIJ,Ravenswaaij
RAVNWD,Ravenswoud
READTK,Readtsjerk
REAHUS,Reahus
REDZUM,Reduzum
REEK,Reek
REEUWK,Reeuwijk
REIJMS,Reijmerstok
REITSM,Reitsum
REKKEN,Rekken
RENESS,Renesse
RENKUM,Renkum
RENSWD,Renswoude
RESSEN,Ressen
RETRMT,Retranchement
REUSEL,Reusel
REUTUM,Reutum
REUVER,Reuver
RHA,Rha
RHEDEN,Rheden
RHEE,Rhee
RHEEZE,Rheeze
RHEEVN,Rheezerveen
RHENEN,Rhenen
RHENOY,Rhenoy
RHOON,Rhoon
RIDDKK,Ridderkerk
RIED,Ried
RIEL,Riel
RIEN,Rien
RIETHV,Riethoven
RIETML,Rietmolen
RIJEN,Rijen
RIJKVT,Rijkevoort
RIJKWL,Rijkevoort-De Walsert
RIJNWD,Rijnsaterwoude
RIJNBG,Rijnsburg
RIJPWT,Rijpwetering
RIJS,Rijs
RIJSBG,Rijsbergen
RIJSHT,Rijsenhout
RIJSSN,Rijssen
RIJSGE,Rijswijk (GLD)
RIJSNB,Rijswijk (NB)
RIJSZH,Rijswijk ZH
RILLND,Rilland
RINSMG,Rinsumageast
RITTHM,Ritthem
ROCKNJ,Rockanje
RODEN,Roden
RODRSC,Roderesch
RODRWD,Roderwolde
ROELVN,Roelofarendsveen
ROERMD,Roermond
ROGAT,Rogat
ROGGEL,Roggel
ROHEL,Rohel
ROLDE,Rolde
ROODSC,Roodeschool
ROOSDL,Roosendaal
ROOSTR,Roosteren
ROSMLN,Rosmalen
ROSSGE,Rossum GE
ROSSOV,Rossum OV
ROSWKL,Roswinkel
ROTSGT,Rotstergaast
ROTSHL,Rotsterhaule
ROTTDM,Rotterdam
ROTALB,Rotterdam-Albrandswaard
ROTTVL,Rottevalle
ROTTFR,Rottum Fr
ROTTGR,Rottum GR
ROUVN,Rouveen
ROZNNH,Rozenburg NH
ROZNZH,Rozenburg ZH
ROZNDL,Rozendaal
RUCPHN,Rucphen
RUIGHZ,Ruigahuizen
RUINDW,Ruinen De Wolden
RUINWV,Ruinen Westerveld
RUINWD,Ruinerwold
RUMPT,Rumpt
RUTTEN,Rutten
RUURLO,Ruurlo
RYPTSK,Ryptsjerk
SGRAVM,'s Gravenmoer
SAAKSM,Saaksum
SAASVD,Saasveld
SAAXHZ,Saaxumhuizen
SAMBK,Sambeek
SANDFD,Sandfirden
SANTPN,Santpoort-Noord
SANTPZ,Santpoort-Zuid
VELSNZ,Santpoort-Zuid
SAPPMR,Sappemeer
SASGNT,Sas van Gent
SASSHM,Sassenheim
SAUWRD,Sauwerd
SCHAGN,Schagen
SCHAGB,Schagerbrug
SCHAIJ,Schaijk
SCHAHR,Schalkhaar
SCHAWK,Schalkwijk
SCHASM,Schalsum
SCHADM,Schardam
SCHADK,Scharendijke
SCHAMR,Scharmer
SCHAGT,Scharnegoutum
SCHABG,Scharsterbrug
SCHAWD,Scharwoude
SCHEDA,Scheemda
SCHEWD,Scheerwolde
SCHEHT,Schellinkhout
SCHELN,Schelluinen
SCHEHN,Schermerhorn
SCHENS,Scherpenisse
SCHEFR,Scherpenzeel FR
SCHEGE,Scherpenzeel GE
SCHETS,Schettens
SCHEDR,Scheulder
SCHIDM,Schiedam
SCHIMO,Schiermonnikoog
SCHIJF,Schijf
SCHIJN,Schijndel
SCHIWD,Schildwolde
SCHIMM,Schimmert
SCHING,Schin op Geul
SCHINN,Schinnen
SCHIVD,Schinveld
SCHIBG,Schipborg
SCHIHL,Schiphol
SCHIRK,Schiphol-Rijk
SCHILD,Schipluiden
SCHOLD,Schokland
SCHODK,Schoondijke
SCHOBK,Schoonebeek
SCHOHV,Schoonhoven
SCHOLO,Schoonloo
SCHONO,Schoonoord
SCHOWD,Schoonrewoerd
SCHOOR,Schoorl
SCHORE,Schore
SCHOZL,Schouwerzijl
SCHRRD,Schraard
SCHUST,Schuinesloot
SEBDBR,Sebaldeburen
SELLNG,Sellingen
SERSSW,Serooskerke Schouwen
SERSVE,Serooskerke Veere
SEVNUM,Sevenum
SEXBRM,Sexbierum
SGRAVL,'s-Graveland
SGRAVD,'s-Gravendeel
SGRAVH,'s-Gravenhage
SGRAVP,'s-Gravenpolder
SGRAVZ,'s-Gravenzande
SHEEAB,'s-Heer Abtskerke
SHEEAR,'s-Heer Arendskerke
SHEEHK,'s-Heer Hendrikskinderen
SHEEBG,'s-Heerenberg
SHEEBK,'s-Heerenbroek
SHEEHO,'s-Heerenhoek
SHERTO,'s-Hertogenbosch
SIBCLH,Sibculo
SIBCLT,Sibculo Twenteraand
SIBRBR,Sibrandabuorren
SIBRHS,Sibrandahus
SIDDB,Siddeburen
SIEBGW,Siebengewald
SIEGWD,Siegerswoude
SIJBKP,Sijbekarspel
SILVLD,Silvolde
SIMNHV,Simonshaven
SIMPVD,Simpelveld
SINDRN,Sinderen
STAGAT,Sint Agatha
STANNN,Sint Annen
STANTH,Sint Anthonis
STGEER,Sint Geertruid
STHUBT,Sint Hubert
STJANK,Sint Jansklooster
STJANS,Sint Jansteen
STJOOS,Sint Joost
STKRUI,Sint Kruis
STMAAR,Sint Maarten
STMTBR,Sint Maartensbrug
STMRVB,Sint Maartensvlotbrug
STNICG,Sint Nicolaasga
STODIL,Sint Odilienberg
STPANC,Sint Pancras
STPHIL,Sint Philipsland
STANNA,Sint-Annaland
STJOHA,Sintjohannesga
STMTDK,Sint-Maartensdijk
STMICH,Sint-Michielsgestel
STOEDR,Sint-Oedenrode
SIRJLD,Sirjansland
SITTRD,Sittard
SKINGN,Skingen
SLAGHR,Slagharen
SLAPTP,Slappeterp
SLEEN,Sleen
SLEEUW,Sleeuwijk
SLENKN,Slenaken
SLIEDR,Sliedrecht
SLIJKB,Slijkenburg
SLIJKE,Slijk-Ewijk
SLOCHT,Slochteren
SLOOTD,Slootdorp
SLOTEN,Sloten
SLUIS,Sluis
SLUISK,Sluiskil
SMAKT,Smakt
SMALEE,Smalle Ee
SMALBG,Smallebrugge
SMILDE,Smilde
SNAKKB,Snakkerburen
SNEEK,Sneek
SNELRW,Snelrewaard
SNIKZW,Snikzwaag
SOERND,Soerendonk
SOEST,Soest
SOESTB,Soesterberg
SOMERN,Someren
SOMMDK,Sommelsdijk
SONBRG,Son en Breugel
SONDEL,Sondel
SONNGA,Sonnega
SPAAHL,Spaarndam
SPAAHA,Spaarndam gem. Haarlem
SPANBK,Spanbroek
SPANGA,Spanga
SPANKR,Spankeren
SPANNM,Spannum
SPAUBK,Spaubeek
SPIERM,Spier
SPIERW,Spier Westerveld
SPIERD,Spierdijk
SPIJKG,Spijk GN
SPIJKL,Spijk Lingewaal
SPIJKR,Spijk Rijnwaarden
SPIJKN,Spijkenisse
SPKBDR,Spijkerboor DR
SPKBNH,Spijkerboor NH
SPRANG,Sprang-Capelle
SPRUND,Sprundel
SPUI,Spui
STWILL,St. Willebrord
STADHV,Stad aan 't Haringvliet
STADKN,Stadskanaal
STAMPG,Stampersgat
STANDD,Standdaarbuiten
STANNP,St.-Annaparochie
STAPHS,Staphorst
STARNM,Starnmeer
STARTL,Startenhuizen
STARTE,Startenhuizen Eemsmond
STAVNS,Stavenisse
STAVRN,Stavoren
STEDUM,Stedum
STNBDR,Steenbergen DR
STNBNB,Steenbergen NB
STNDAM,Steendam
STNDRN,Steenderen
STNKMR,Steenenkamer
STNSEL,Steensel
STNWK,Steenwijk
STNWKW,Steenwijkerwold
STEGRN,Stegeren
STEGGD,Steggerda
STEIN,Stein
STELLD,Stellendam
STERKS,Sterksel
STEVBK,Stevensbeek
STEVWT,Stevensweert
STEYL,Steyl
STIELK,Stieltjeskanaal
STIENS,Stiens
STITSW,Stitswerd
STJACP,St.-Jacobiparochie
STOKKM,Stokkum
STOLWK,Stolwijk
STOMPT,Stompetoren
STOUTB,Stoutenburg
STTBND,Stoutenburg Noord
STRAMP,Stramproy
STREEF,Streefkerk
STRIEP,Striep
STRIJB,Strijbeek
STRIJN,Strijen
STRIJS,Strijensas
STROE,Stroe
STROOB,Stroobos
STUIFH,Stuifzand
STUIFM,Stuifzand M-Drenthe
SUMAR,Sumar
SURHVN,Surhuisterveen
SURHZM,Surhuizum
SUSTRN,Susteren
SUWALD,Suwald
SWALMN,Swalmen
SWEIKH,Sweikhuizen
SWICHM,Swichum
SWIFTB,Swifterbant
SWOLGN,Swolgen
TGOY,'t Goy
THAANT,'t Haantje
THARDE,'t Harde
TLOOOL,'t Loo Oldebroek
TVELD,'t Veld
TWAAR,'t Waar
TZAND,'t Zand
TZANDT,'t Zandt
TAARLO,Taarlo
TEEFFL,Teeffelen
TEERNS,Teerns
TEGELN,Tegelen
TNBOER,Ten Boer
TNPOST,Ten Post
TRAAR,Ter Aar
TRAARD,Ter Aard
TRAPEL,Ter Apel
TRAPKN,Ter Apelkanaal
TRHEIE,Ter Heijde
TRIDZD,Ter Idzard
TRBAND,Terband
TRBORG,Terborg
TRHEIN,Terheijden
TRHERN,Terherne
TRHOLE,Terhole
TRKAPL,Terkaple
TRMUNT,Termunten
TRMUZL,Termunterzijl
TRNAAR,Ternaard
TRNEUZ,Terneuzen
TROELE,Teroele
TRSCHU,Terschuur
TRSOAL,Tersoal
TRWISP,Terwispel
TRWOLD,Terwolde
TETRGN,Teteringen
TEUGE,Teuge
THESNG,Thesinge
THOLEN,Tholen
THORN,Thorn
TIEL,Tiel
TIENDH,Tiendeveen
TIENDM,Tiendeveen M-Drenthe
TIENUT,Tienhoven UT
TIENZH,Tienhoven ZH
TIENRY,Tienray
TIJNJE,Tijnje
TILBRG,Tilburg
TILLGT,Tilligte
TINLLG,Tinallinge
TINTE,Tinte
TIRNS,Tirns
TJALHZ,Tjalhuizum
TJALLB,Tjalleberd
TJERKG,Tjerkgaast
TJERKW,Tjerkwerd
TJUCHM,Tjuchem
TOLBRT,Tolbert
TOLDK,Toldijk
TOLKMR,Tolkamer
TOLLBK,Tollebeek
TONDEN,Tonden
TOORNW,Toornwerd
TRICHT,Tricht
TRIEMN,Triemen
TRIPSC,Tripscompagnie
TUBBRG,Tubbergen
TUIL,Tuil
TUITJH,Tuitjenhorn
TUK,Tuk
TULLWL,Tull en 't Waal
TWELLO,Twello
TWIJZL,Twijzel
TWIJZH,Twijzelerheide
TWISK,Twisk
TYNRLO,Tynaarlo
TYTSJK,Tytsjerk
TZUM,Tzum
TZUMMR,Tzummarum
UBBENA,Ubbena
UBBERG,Ubbergen
UDDEL,Uddel
UDEN,Uden
UDENHT,Udenhout
UFFELT,Uffelte
UGCHLN,Ugchelen
UITDAM,Uitdam
UITGST,Uitgeest
UITHRN,Uithoorn
UITHZN,Uithuizen
UITHMD,Uithuizermeeden
UITWLL,Uitwellingerga
UITWK,Uitwijk
ULESTR,Ulestraten
